Date,Open,High,Low,Close
2018/1/2,16.2143,17.6714,16.2143,17.6714
2018/1/3,17.492901,17.8857,17.378599,17.5786
2018/1/4,17.8643,19.1429,17.8643,18.871401
2018/1/5,18.592899,19.371401,18.3571,19.092899
2018/1/8,18.592899,19.371401,18.3571,19.092899
2018/1/9,19.8857,20.6786,19.257099,19.6714
2018/1/10,20.064301,20.1071,18.6429,18.950001
2018/1/11,19.1429,19.164301,18.721399,18.9
2018/1/12,18.992901,19.814301,18.8571,19.242901
2018/1/15,19.4286,19.4286,18,18.507099
2018/1/16,18.4571,19.4286,18.450001,18.757099
2018/1/17,18.8571,18.8571,17.585699,17.764299
2018/1/18,17.9786,18.985701,17.8071,18.842899
2018/1/19,18.842899,19.3571,18.492901,18.878599
2018/1/22,18.9214,19.507099,18.621401,19.485701
2018/1/23,19.75,19.7857,18.2143,18.8929
2018/1/24,18.9286,18.9786,18.435699,18.907101
2018/1/25,19,19.7714,18.985701,19.2286
2018/1/26,19.1071,19.764299,18.9286,19.3643
2018/1/29,19.3571,20.7857,19.221399,20.735701
2018/1/30,20.5571,21.0357,19.935699,20.5214
2018/1/31,20.15,20.15,19.5429,19.778601
